Alameda,1
Alhambra,17
Andes Norte,7
Antonio Nariño,48
Barrancas,15
Barrios Unidos,473
Bella Suiza,103
Bellavista Occidental,5
Bochica,4
Bogotá D.C,14
Bosa,589
Bosa Piamonte,2
Bosa Porvenir,2
Bosque De Pinos,3
Bosque Popular,5
Boyaca,14
Buenos Aires,2
Candelaria La Nueva,3
Cantagallo,47
Capellania,10
Casablanca,2
Castilla,30
Cedritos,554
Cerros De Suba,2
Chapinero,332
Chapinero Alto,35
Chapinero Central,46
Chico Navarra,12
Chico Norte,100
Chico Norte Ii,3
Chico Reservado,225
Ciudad Berna,8
Ciudad Bolívar,84
Ciudad Salitre,60
Ciudadela Colsubsidio,14
Colina Campestre,40
Colinas De Suba,1
Costa Azul,8
Eduardo Santos,2
El Batán,133
El Castillo,4
El Chicó,73
El Contador,25
El Plan,31
El Progreso,2
El Refugio,16
El Retiro,19
El Salitre,5
El Tunal,1
El Virrey,6
Engativa,462
Estrada,2
Florencia,1
Florida Blanca,1
Fontibón,270
Galerias,4
Galicia,5
Gran America,12
Gran Granada,54
Gratamira,2
Gustavo Restrepo,2
Hayuelos,28
Ingles,2
Kennedy,589
La Calleja,77
La Candelaria,32
La Estancia,5
La Estanzuela,1
La Granja,5
La Macarena,1
La Merced,2
La Sabana,3
La Salle,12
La Soledad,8
La Uribe,11
Lago De Suba,1
Lagos De Cordoba,16
Las Aguas,5
Las Cruces,2
Las Delicias,3
Las Ferias,2
Las Nieves,37
Las Villas,9
Libertador,4
Los Lagartos,3
Los Mártires,38
Los Rosales,100
Madelena,28
Marly,18
Mazuren,77
Metropolis,9
Mirandela,19
Modelia,40
Nicolas De Federman,37
Niza,19
Normandia,26
Nueva Autopista,22
Nueva Castilla,3
Nueva Zelandia,15
Palermo,15
Parque Central Bavaria,9
Pasadena,42
Patio Bonito,3
Pinar De Suba,11
Pontevedra,9
Portales Del Norte,62
Prado Veraniego,1
Puente Aranda,116
Puente Largo,30
Quinta Camacho,21
Quinta Paredes,52
Quirigua,8
Quiroga,2
Rafael Uribe Uribe,68
Restrepo,10
Ricaurte,5
Roma,1
Salitre,11
San Antonio Norte,5
San Cipriano,3
San Cristobal,38
San Diego,6
San Luis,15
San Patricio,115
Santa Ana,8
Santa Barbara,438
Santa Fe,91
Santa Librada,2
Santa Maria Del Lago,1
Santa Paula,26
Santa Teresa,15
Sotavento,14
Suba,443
Teusaquillo,180
Timiza,2
Tintala,112
Tunjuelito,29
Turingia,2
Usaquén,1105
Usme,51
Venecia,4
Veraguas,6
Verbenal,6
Villa Alsacia,35
Villa Maria,13
Villas De Granada,22
Villemar,18
Zona Franca,1
Zona Noroccidental,877
